"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Srd5a3",29.71,0,0,207.43,0,0,0,0,0,0,0,0,0,13.3,31.01,0,0.6,0,0,0,0,0,0,0,0,132.9,0,0,107.75,50.51,0,0,62.56,0,69.75,0,0,85.92,0,0,0,0,0,22.56,0.76,1.75,3.45,45.94,0,3.03,0.95,20.99,0.78,0,0,28.21,5.26,0,0,0,0,0,80.48,0,1.18,30.02,0,0,0,12.61,3.51,1.37,0,36.19,0,0,0,0
"Tmem165",29.16,0,0,188.32,0,17.51,0,0,0,0.39,70.01,126.59,0,0,23.18,109.8,0,5.78,0,9.9,20.52,23.62,5.8,261.86,0,0,0,16,0,28.91,69.71,1.62,0,13.72,30.41,45.33,133.35,0,0.72,22.6,50.74,0,0.91,35.62,0.48,31.72,12.48,0,76.55,9.66,30.73,2.16,14.17,57.53,0.23,79.1,22,0,0,2.07,0,125.06,10.18,4.57,14.26,5.34,4.91,45.77,18.54,0,5.2,0,4.23,0,102.33,59.44,7.51,18.66
"Clock",1.81,0.55,0.24,0,0,2.72,0,0,0,0.09,23.15,5.42,0,13.72,6.03,2.28,6.62,0,0.74,10.74,0,0,0,0.17,40.33,1.74,5.88,1.86,27.5,2.69,1.83,4.52,18.15,0,8.48,70.48,0,0.07,20.93,0.29,0,0,0.43,22.53,23.15,0,1.07,0,0,0.13,13.92,6.98,4.1,42.73,1.15,16.04,0.04,2.68,0,26.15,16.72,0,16.1,0.09,4.22,0,92.55,7.6,34.4,2.02,0.41,0.09,3.1,0.65,1.84,56.81,8.74,0.12
"Rest",0.88,1.78,61.04,0.15,74.85,0.17,0,0,0,57.63,1.1,0.36,0.9,4.75,6.87,19.09,18.1,0.97,11.81,0.25,0.2,63.03,5.55,1.47,0,0.68,33.34,4.02,0.44,0,11.33,8.1,14.38,55.14,1.9,52.62,1.4,66.58,3.79,8.73,19.76,0.86,2.91,37.76,4.52,0.99,20.03,2.14,34.75,62.36,17.72,40.24,6.97,6.94,13.15,20.95,0.97,24.54,77.78,5.63,129.69,58.49,5.22,21.42,9.96,35,6.53,1.98,33.45,13.04,14.22,7.28,27.71,33.56,5.32,122.55,53.84,14.36
"Dr1",0,0,0,64.58,0,33.22,0,0,2.79,49,4.13,0,0,0,3.31,0,2.15,0.38,57,0.87,37.39,0,3.09,0,0,13.6,0,15.07,0.34,47.59,18.07,0,4.58,2.83,37.14,1.6,105.79,61.8,0,7.31,13.6,0,183.63,2.37,0,3.56,0,0,12.9,0,38.05,1.99,77.65,0,3.44,4.17,24.5,2.95,0,0,0,0,7.96,2.49,27.02,0,0,33.73,25.96,0,0.41,0.24,0,0,21.54,1.8,4.92,0
"Fam69a",0,79.82,0,0,0,0,0,12.56,0,3.65,42.85,0,0,0,37.58,0,85.97,49.22,0,0,91.76,0,37.15,0,0,7.12,0,13,0.39,0,20.07,31.06,0,95.78,9.5,0,0,114.08,0,16.42,0,0,0,0,2.26,32.55,71.93,13.56,40.59,129.46,11.76,27.48,26.86,0,37.93,0,68.94,18.76,0,88.2,0,23.29,10.35,24.81,17.09,16.53,0,175.27,47.38,8.06,0,0,28.68,0,0,73.4,76.42,0.7
"Glmn",0,0,11.41,121.92,319.29,0,0,0.49,0,40.09,0,87.63,39.42,0,82.41,40.2,46.6,0,2.12,0,0,0,0,0,17.06,12.37,0,19,123.54,0,43.61,107.5,0,111.26,0,74.3,0,0,11.9,214.1,0,0,1.24,63.32,0,14.72,4.66,0,107.29,103.73,107.59,27.03,0,14.54,176.84,0,4.01,0.97,24.42,24.07,19.98,0,7.6,8.33,0,0,0,78.27,153.46,101.18,0,0,1.3,62.49,3.47,0,78.5,165.57
"Tgfbr3",0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,37.91,0.14,122.25,0,0,0,0,23.64,20.71,26.98,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zfp326",47.52,0,198.33,66.54,84.54,7.01,0,0,7.25,13.08,4.19,10.48,16.97,38.93,50.3,0,23.04,45.85,3.88,150.23,15.75,0,12.56,4.99,140.47,87.32,9.16,0.46,181.86,23.14,2.9,20.66,47.67,28.67,23.13,16.84,190.76,13.15,11.99,149.39,77.92,20.2,81.07,69.65,11.61,3.89,92.88,0.13,39.42,17.27,6.7,0,137.04,99.26,10.15,90.46,25.3,30.39,0,0,76.04,1.49,29.06,7.4,16.8,25.05,0,48.2,69.39,46.66,17.88,56.86,79.48,0.38,0,30.94,181.63,164.04
"Rufy3",0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,18.88,0,0,0,0,16.43,18.65,0,0,8.33,16.19,0,0,0,0,0,0,0,0,0,9.84,0,0.19,2.05,0.09,0,0.75,0,0,0,0.5,0,0,0,0.96,0,1.33,0,0,0.63,0,0,0,0,0,10,0,0,0,0,0,0,0,0.94,40.56
