"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Dock5",46.19,0,36.01,0.1,0.93,0,0,0,0,7.82,0.37,0,0,3.88,7.81,0.82,62.2,0,8.68,0.5,0,0,18.49,0.24,48.48,0,0.21,4.16,0,19.73,0.09,0.19,27.03,0.85,0,0.38,4.96,0.05,24.33,35.22,0,0,0.93,3.24,0.16,16.08,38.52,0,16.61,21.01,0,0,0,32.76,0,66.53,16.7,53.69,0,34.08,103.85,0.06,0,0,5.75,15.32,44.02,41.35,7.15,0,9.5,1.02,12.65,0,4.79,36.4,15.93,0.09
"Zfp507",0,0,18.47,0,0,0,0,0,0,0.4,1.06,0,0,0,20.01,1.79,0,0.17,0,0,29.96,0,44.5,0.19,1.89,0,0,0.16,0,0,0,0,1.41,0,0,0,3.25,0,0,0,0,0,12.89,0,0,0.23,0,0,0,0,0.1,14.04,1.38,0,0,0,0.07,0,0.07,6.45,72.87,0.27,0,0,0,0,47.33,1.27,0.34,0,1.37,0,0,0,0,0,0,0
"Rin3",0,0,0,0,0,0,0,38.02,0,0,0,0,0,0,1.61,0,4,0,0,0,1.51,0,4.26,0,0,0,0,1.03,0,0,0,0,0,0,70.73,0,0,0.44,0,0,0,0,0,0,0,0.41,0,0,27.73,2.51,6.82,0,0,4.95,0,0,0,9.24,0,0,0,0,0,18.22,0,0.17,0,1.08,0,11.02,0,12.77,0,106.35,0,0,0.17,0
"Fam160a2",0,0.15,0,0,0,0,9.01,11.02,0,0,0.84,0,0,4.37,0,0,0,84.83,0.4,0,28.93,0,0,268.18,0,0,0,0,0,0,25.41,0,35.2,0.85,3.42,0,0,13.61,0,1.85,48.3,1.21,4.38,4.29,0,1.71,0,6.51,0,0,0,7.75,0,0,0.9,0,0,8.64,17.32,36.15,0,0.22,13.56,29.73,0,0,0,0.24,0,9.98,0,26.93,4.47,8.51,0,1.95,2,0.31
"Ascc1",8.72,0.63,0,0,22.21,358.23,0,51.18,2.11,225.9,29.09,428.45,0,136.18,67.2,59.12,113.39,3.43,66.18,402.45,16.64,0,103.34,0.96,14.51,98.32,221.99,11.02,9.26,0,39.84,21.34,0.98,202.69,28.44,21.87,4.32,0.8,5.7,0,0,0,0,70.14,115.75,0,192.62,144.96,0,12.47,41.84,11.77,10.33,87.69,54.52,0,201.84,0,0,69.88,0,0,30.6,14.96,11.52,135.22,136.79,217.76,165.69,38.16,107.82,301.96,79.61,172.04,0,14.01,78.69,2.05
"Zfand3",0,0,0,59.11,21.04,0,0,0,0,0,3.7,0,0.36,2.83,11.49,0,0.51,0,22.7,2.43,0,0,31.76,71.38,0,0.48,0,1.17,0,7.31,0,3.28,31.7,0.75,56.88,20.51,0,0,8.65,7.55,0,0,0,6.28,19.18,3.33,0.49,45.87,0,0,0,1.53,4.75,7.27,9.03,1.04,5.93,0,77.04,0.42,0,0,0,14.28,14.95,0,0,0,15.34,0,4.4,24.4,6.53,0,0,26.5,61.37,0.37
"2510039O18Rik",0.52,0.32,6.1,9,1.72,4.62,0.81,0.34,0,0,1.77,0,0,0.81,0,0,0,37.84,0,128.17,0.26,0,1.06,2.43,0,20.07,0,15.62,0,19.38,53.67,6.63,30.52,1.07,35.83,69.09,0.92,1.02,0.49,30.77,0,0,2.77,3.6,0,1.45,8.43,0,8.47,0.37,8.59,4.86,0.48,16.88,20.07,66.29,0,0.24,0,4.57,0,0,0,23.17,0,0,7.24,0.51,10.04,0.55,0.47,4.88,34.03,0,9.92,1.79,8.87,3.15
"Bod1",92.4,0,0,44.14,0,0,0,5.02,0,21.06,62.2,0,0,26.53,108.01,0.78,88.53,175.85,28.93,0,61.12,0,3.76,36.05,214.82,20.45,206.52,85.17,0,0,0,3.08,28.63,13.18,40.23,3.18,15.91,0,102.16,124.58,0,0,177.07,0.63,66.3,55.55,0.98,50.04,45.45,0,0,46.11,33.05,34.01,39.61,0,0,1.01,0,80.02,0,293.34,0,0,0,162.65,0,0,32.51,16.79,32.35,77.34,35.25,2.32,0,0,85.26,94.78
"Zfp488",0.84,10.88,7.19,27.59,24.63,0.65,4.78,4.57,60.51,54.85,47.34,7.6,36.37,6.86,5.5,29.82,11.7,90.67,15.56,27.71,27.57,7.83,12.57,14.31,4.37,14.94,0.89,8.22,1.63,41.61,10.9,29.95,24.88,1.61,4.62,34.34,5.8,53.87,2.19,8.27,11.39,1.58,1.17,21.09,12.89,18.8,8.86,13.57,13.13,15,0.61,4.93,92.7,7.46,1.6,42.38,31.8,48.73,0.44,27.18,35.6,0.94,28.56,9.92,2.99,1.29,13.99,2.35,6.14,4.91,16.76,47.94,30.42,29.34,21.28,57.09,37.93,20.51
"Cage1",0,0,24.8,0.96,0,0,0.23,0.79,0,60.94,0.46,0,133.26,0.2,0,0,6.04,0,43.98,105.59,13.4,241.17,0,0,0,34.85,60.25,1.4,104.61,0,0,0.04,0.19,0,0,200.1,0,11.72,0.89,0.7,0.21,98.12,0,0,0.23,0,0.18,0.19,0.42,0.29,0,0.13,0.11,0,0.12,42.63,0.19,2.38,0,0.31,71.64,0,0.25,13.09,0,0.19,0,0.43,0.18,0,7.48,0,7.24,23.56,0,28.44,15.34,0.27
"Liph",0,72.88,2.69,9.4,0,0,128.25,42.62,24.84,0,26.91,3.59,9.92,0,0,0,0,0,4.19,27.12,1.15,0,3.05,0,0,0,0,0,0,0,0,0,0.18,0,0.78,0,0,25.11,0.18,0.4,0,0,0,0,0.41,0,0,0.1,3.66,0.65,0,27.04,0,0.14,0,8.83,0,0.34,0.32,0,0,0,0,12.89,8.91,0,0,0.18,0,0,0,0,0.19,0,1.02,0,0.17,0
"Swi5",428.87,316.48,18.13,132.45,465.62,379.86,0,263.47,398.52,16.55,159.61,29.01,0,45.96,106.59,18.33,175.73,87.82,53.67,7.29,51.41,44.3,72.83,61.78,392.27,193.02,311.45,405.46,48.13,0,223.89,200.41,119.91,345.29,60.98,62.12,207.91,255.39,48.14,163.35,418.19,1979.69,21.35,329.28,182.13,351.56,279.62,381.06,152.94,110.06,470.78,114.54,235.44,207.24,286.07,288.82,497.71,329.88,325.16,0,311.19,343.99,483.38,142.04,271.14,174.55,410.89,275.2,228.81,113.47,140.42,128.82,182.83,778.13,169.2,167.14,232.5,1.62
"Rnf208",0,0,0,0,22.47,0,5.82,0,0,0,0.8,0,0,4.43,0,0,0,0,0,0,0,0,7.69,0,0,104.65,0,0,2.13,0,0,0,13.85,0,0,0,0,0,0,0,0,0,0,2.4,0,5.34,0,0,0,0,0,0,64.06,0,0,0,0,0,4.26,0,0,0,0,0,0,0.64,0,0,0,0,13.67,9.37,3.43,0,0,0,52.8,0
"Csrnp2",37.59,18.28,0,0,0,0,0,0,0,38.97,10.04,0,0,0,0,0,0,0,0,0,10.07,0,0,0,0.2,21.42,0,0,0,0,0,43.51,42.38,0,6.05,0,0,0.26,3.47,23.34,0,0,0,16.54,0,0,0.15,21.26,5.81,50.36,25.49,3.25,69.87,0,0,0,0,158.8,0,0,0,0,0,0.17,87.69,0,0,0,36.11,14.08,0,44.1,4.04,7.71,85.24,0,0.15,0
"Gm7334",6.29,0,0,0,22.79,0,9.45,0.74,39.68,28.06,0,2.58,0,0,27.48,16.88,7.53,0,13.08,0,13.9,39.16,10.64,0,2.7,27.49,0,46.51,0,0,10.8,4.37,2.69,1.94,51.44,11.5,181.12,0.89,7.83,13.16,18.77,0,0,2.92,23.68,8.1,46.69,0,0.38,28.68,35.11,0,0,11.84,0,0,0,11.98,8.86,0,132.2,0,10.77,100.37,0,0,0,106.19,12.74,2.39,17.35,2.35,0.56,73.54,0,0,41.73,0
"Zbtb7c",47.35,91.8,29.94,0,0,3.01,0,0,0,58.9,0,64.8,0,5.27,4.42,6.56,0.99,1.26,12.04,53.88,0,2.42,0,1.41,122.11,0,0.5,0.26,0,0,0,0,3.6,0,0,0.39,6,0,0,21.9,0,0,0,0,0,0.36,0.27,0,5.62,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,6.91,2.68,6.73,2.71,42.7,43.28,0,19.73,1.49,25.12,0
"Zfp612",0.31,0,0,0,0,0,0,84.72,0,0,4.97,0,0,0.33,6.84,0,0,62.21,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,18.53,0,5.34,0,0,0,0,0,2.58,33.41,0,23.8,0,0,0,92.57,0,0,0,0,14.21,0,0,0,0,0,0,0,0,3.13,0,0,0,260.83
"Cnpy1",1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,50.2,0,0,0,0,0,0,0,0,0,0,0.85,0,21.79,0,0,5.71,32.24,1.06,0,0,0,19.96,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,44.04
"Gemin7",173.28,31.29,0,1.83,0,12.65,41.14,0,88.96,4.76,16.22,0,404.26,141.04,67.5,248.34,165.98,41.05,138.73,41.08,0,0,28.24,208.15,0,77.62,232.33,150.59,347.06,10.91,0,230.32,105.29,205.76,121.72,317.83,177.92,133.41,58.97,158.77,0,0,0,143.55,75.13,23.77,35.11,59.37,82.47,94.16,434.95,63.47,515.77,81.21,177.31,196.02,113.98,35.56,0,0,328.93,266.73,150.57,55.76,10.71,0,0,50.91,94.42,104.44,206.49,13.26,16.3,0,33.62,306.21,153.64,80.37
"Slc38a6",313.84,242.01,158.25,128.85,198.56,684.74,91.05,9.31,84.82,24.08,125.81,98.91,5,131.91,18.47,54.13,3.56,129.66,9.46,62.9,126.84,17.63,646.32,100.98,8.74,56.05,143.48,34.27,425.06,30.92,679.53,177.36,162.45,402.74,98.95,553.4,24.61,160.32,243.96,96.82,732.03,48.41,11.47,133.03,343.18,148.07,291.48,195.93,286.69,148.5,1019.53,34.85,351.2,333.3,350.31,176.34,230.21,615.03,39.42,1163.34,115.31,458.62,817.15,177.31,316.57,343.69,96.97,647.12,194.83,1014.71,192.86,376.22,636.29,41.15,249.16,248.14,57.78,654.63
"Gskip",0,0,0.33,208.51,8.18,0,0.26,10.96,0,0,100.06,0,0,3.98,0.74,193.6,27.88,0,2.09,169,49.41,16.39,3.46,0,0,2.24,1.98,32.45,0,0,4.82,0,53.4,8.44,89.72,16.11,3.81,109.06,0,34.87,0,4.73,3.32,1.77,4.42,0,114.14,1.29,10.19,0,4.99,0,0,105.24,51.14,13.81,0,4.24,0,0,189.79,0,67.83,1.01,32.66,30.69,0,6.95,6.4,66.92,0,5.86,0.26,182.33,47.3,9.55,24.09,0
"9930104L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01,0,0,0,0,0.25,0,7.24,0,0,0,0.27,23.27,0,0,12.11,0.17,8.41,73.45,5.36,0,0.64,0.19,13.18,12.71,0,0.95,17.39,0,3.2,11.68,0,0,4.31,0,4.56,0.8,0.22,0.18,0.39,0,0,0,17.06,0,0.68,0,0,1.84,0.47,0,0.56,0,0.67,0,0.22,0,0,0,0.27,0,0.44,0.66
"Serpinb1a",0,0,0,0,0,0,0,0,0,0,60.05,0,0,3.8,0,0,0,0,9.41,0,231.7,0,0,28.68,0,41.14,0,0,1.22,0,0,0,351.77,0,136.01,23.84,0,0,0,0,0,60.96,0,0,201.31,0.45,5.48,0,0,7.38,0,1.19,0.37,105.94,0,40.4,0,0.37,0,0,0,0,0,5.65,0,0,0.93,0,176.92,0,0,0,553.55,0,0,0,479.14,0
"Klk14",0,0,0,0,2.61,7.56,0,0,1.43,0,0,0,0.13,0,0.84,1.19,0,0,0,0,0,0,2.52,20.66,0,0,1.04,0,0,0,1.5,6.5,25.41,7.11,0.76,0.99,1.99,6.1,0,22.57,1.6,0.96,10.35,0,7.02,2.76,8.26,25.78,0.8,22,0,0,0.45,12,3.71,3.41,0.97,10.06,0,10.98,0,8.97,0.49,0.23,11.38,5.46,0,4.33,6.21,17.52,0.13,0,0.74,5.7,0,1.4,2.94,3.56
"Trmt10c",4.47,0,0,0,0,0,0,20.46,30.29,2.35,0.27,9.52,0,34.82,93.18,0,15.24,0,0.77,13.5,62.88,0,0.32,29.9,0.28,11.53,0,15.92,0,6.3,61.44,4.66,67.98,70.38,19.31,2.06,0,0,41.33,2.01,91.09,0,0.28,4.34,0,85.37,101.88,0,72,0,0,3.95,0,0,7.51,0,0,12.78,82.19,10.96,0,2.73,32.2,22.59,90.79,38.88,0,35.18,207.42,93.97,2.11,20.58,18.56,0.34,0,0,21.53,1.9
"D1Ertd622e",0.09,0.3,0.19,0.35,0.21,0.06,0,0.23,0.11,1.19,0.11,0.03,8.91,0.09,13.3,0.18,6.82,0.48,0.04,0.18,1.16,2.25,0.07,44.77,0.47,0.1,0.17,20.12,0,0,8.18,5.23,0.24,1.2,0.55,0.29,0.33,0.51,10.45,0.9,14.72,0.9,1.39,2.22,0.8,1.86,3.46,3.27,0.88,0.56,2.78,4.37,0.47,1.93,17.95,0.28,82.53,0.67,190.83,0.62,1.99,0.12,0.42,1.14,0.57,0.09,2.71,0.69,2.87,1.41,5.99,37.98,1.07,31.63,2.93,27.15,65.54,0.33
"Zfp36",0,34.18,0,1.95,0,0,59.94,58.6,260.21,167.06,0.47,0.51,0,41.36,57.27,6.99,62.37,32.9,0,7.39,0,0.66,5.06,0,27.3,3.64,2.3,37.01,138.33,64.11,20.68,0,109.06,0,0,0,0,0,34.05,53.37,0,0,0,30.83,21.27,33.77,191.05,106.04,0,344.3,62.36,0,58.9,283.4,0,143.46,0,0.38,0,0.32,101.95,205.91,73.9,189.08,0,47.38,17.1,11.19,163.18,17.89,38.03,129.42,258.51,48.03,174.64,27.81,128.13,136.25
"Fads6",1.18,2.73,3.8,18.33,1.53,1.09,1.25,0,0.66,1.58,5.03,1.88,0,2.37,0.86,9.62,1.62,5.6,2.89,0,1.96,12.76,4.11,3.66,2.73,5.14,0,0.57,4.61,46.82,6.76,8.84,10.73,1.16,1.79,5.28,4.26,5.54,5.58,20.1,6.29,21.49,17.47,9.74,4.99,8.24,3.38,2.8,14.19,9.03,2.89,2.62,15.27,1.87,4.54,4.12,1.83,9.28,0.82,16.84,4.14,6.06,2.4,3.59,3.87,0.59,18.85,6.83,6.98,0.36,10.14,16.69,3.27,10.19,9.58,4.76,12.91,23.5
"Setd2",18.26,19.15,86.94,5.72,62.91,25.88,0,1.67,4.95,110.45,0,0,5.87,58.7,0.35,0,15.11,71.46,62.59,31.83,2.3,0.13,141.99,16.21,0.65,25.24,58.47,10.12,0,0,14.9,22.74,61.81,73.37,0.79,0.32,0,88.38,8.55,69.99,53.21,92.57,0,11.3,1.31,13.17,2.33,25.74,6.7,0,36.23,8.97,21.44,19.05,19.47,10.06,1.68,57.96,5.95,375.39,0,1.01,85.39,15.87,32.38,0.51,1.55,32.35,1.66,14.12,54.85,0.76,12.76,49.72,51.2,90.38,57.09,27.77
"Isca1",6.82,1.27,0,0.44,221.78,0,143.11,9.34,0,254.78,59.51,175.86,0,0,53.87,0,86.52,27.37,72.95,0,111.5,0.9,68.49,0,35.16,109.68,0,0,31.29,14.06,215.96,0.69,69.88,0.25,79.94,1.57,0.2,0.28,42.75,1.47,0,0,23.6,51.2,0,75.5,11.82,78.56,28.27,1.49,61.93,77.49,86.63,0,5.34,5.92,0,47.37,5.23,453.41,9.32,17.75,264.18,119.28,45.54,8.55,412.39,61.33,2.95,16.27,52.95,0.48,67.89,322.67,18.1,30.63,90.55,0
"Cyb5d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0,3.15,0,4.12,0,0,0,0,0,0,0,0,0,0,320.23,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.53,9.43,64.57,0,0,0,0,0,0
"Shb",0,0,0,0,0.52,0,6.77,0,0,1.88,0.53,0,0,2.93,3.41,0,0,0,6.89,0,1.9,0,2.54,0,0,0,4.16,0,0,0,0,1.31,0,0,4.08,0,0,0,11.2,41.41,0,0,0,7.49,0,1.03,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0.71,0,1.65,0,1.37,0,0,0,0,0,0,1.25,0,23.08,0,45.55,8.17,54.64,0
"Lemd2",0,0,0.36,38.45,0,0,0,15.01,1.49,4.12,0,0,149.77,0,0,0,0,0,0,0,0,0,20.86,74.07,0,0,0.3,2.83,0,0,0,0,10.48,0,0,0,0,0,0,0,0.28,0,11.69,0,0,14.37,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0.21,0,20.82,0.33,0,0,0,0,0,1.72,0,0.74,4.87,0.27,0,0,0,6.91,0
"Ankrd50",0,98.25,0,1.09,0,0.74,0,0,0,0,0.94,0,0,0,25.76,0,15.29,0,13.35,0,0,0,0.38,0,3.08,7.77,0,2.2,0,0,0,0,3.06,0,0.08,0,0,0,4.31,0,0,0,6.75,0,0,0,15.78,0.07,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,23.23,0,0,0,33.38,0,46.01
"Zfp444",40.31,0.7,77.28,0,0,0,0,32.52,0,5.3,0,0,26.78,0,0.42,0,1.82,0,0.74,0,0,0,0,0,0,13.39,0,5.49,0,0,0,30.29,26.27,0,28.95,26.95,1.28,0,9.65,0.31,0,0,0,0.52,0,0,11.59,23.57,18.16,0,1.02,10.16,102.63,0,4.94,3.5,0,0,0.4,13.43,0,0,28.65,0.86,2.14,0,0,0.28,0.91,0.92,0,0,0,0,0,0.28,1.04,414.51
"Coa4",0,0,306.08,21.69,0,0,0,0,0,117.2,0,0,0,106.57,23.29,0,0,0,48.4,3.54,130.87,0,119.62,0,0,0,0,81.95,140.71,0,8.24,0,0,85.42,0,0,0,0,0,0,0,0,23.7,34.65,0,3.44,0,0,0,25.26,41.16,57.73,280.49,0,0,0,0,6.47,0,0.84,0,2.91,30.78,6.46,0,0,0,71.07,0.57,45.3,6.12,0,1.09,0,59.34,0,75.25,0
"Wdr96",0,9.37,38.69,0,0,0,10,187.18,0,1.57,0,0,215.99,41.93,56.17,0,2.71,0,0,10.38,0,0,89.6,0,0,27.47,1.7,0.16,0.19,33.41,44.42,0.22,4.98,0,176.97,4.11,22.17,0.73,0,5.79,0,0,0,0,2.52,91.03,1.16,0,0,0,79.87,0,1.32,0,0.24,0,0,0,0,247.49,0,0,0,3.62,0,0,0,0,1.74,0,0,0,0,2.31,0,13.52,8.96,0.51
"Ubtd2",134.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.75,0,0,30.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,263.99,0,0,44.77,0,0,0,0,0,0,6.43,0
"Pwwp2a",174.39,68.39,12.49,31.66,0,15.28,0,0,0,190.42,0,0,0,5.32,0,6.4,0.95,6.4,0.83,0,12.82,25.82,0,0,0,100.94,0,1.33,0,0,11.6,0.35,0,113.06,0,0,14.16,173.52,1.39,0.53,0,0,0,0,0.61,14.94,0,0,0,0,1.88,17.01,36.49,0,0,203.37,7.18,36.09,0,26.45,0,0,4.18,40.04,44.94,0,0,0,10.55,20.74,16.66,0,0,0,324.13,70.37,32.54,0.67
"Pp2d1",0,0.81,0,1.46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.59,0,0,0,0,91.92,0,1.43,0,0,0,0,0,0,0,0,0,0,1.38,0,0.32,0.23,11.98,0,0,18.82,0,1.05,2.04,0.35,0,0,2.09,1.41,0.27,0,0,0,0.65,0.73,0.18,54.29,0,0.28,0,0.56,2.83,0,0.58,3.05,4.7,0,0,0,22.79,1.81,0,0,0,2.58,0.28,0
"Napepld",0,0,0.49,0,0,260.17,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,17.13,0,0,0,51.95,0,2.83,0,0,0.14,4.4,0.18,0,0,52.38,4.99,0,3.48,0,0,0,0.7,0,56.27,1.05,43.31,21.58,0,0.13,0,1.78,0.26,9.81,2.35,0,2.7,5.94,0,0,0,0,150.11,67.49,0,0.39,1.12,0,11.99,68.77,0,0.95
"Tst",184.55,0,277.68,0,0,0,0,0,0,9.64,155.55,0,0,0,0,447.05,0,0,0,56.2,56.77,0,19.12,0,0,1.3,0,1.27,0,0,12.97,0,0,9.99,2.78,0,203.28,0,0,0,156.97,0,0,0.83,23.84,57.35,0,0,0,0,77.09,115.67,145.75,405.03,0,0,0,141.9,0,0,0,0,43.93,0,0,3.98,0,25.98,0,0,42.85,0,45.11,0,0,0,0,0
"1110034G24Rik",0,23.85,0,0,0,0,0,0,312.29,6.07,0,0,0,198.49,0,0,40.58,70.14,0,0,0,0,1.31,0,0,98.73,0,3.26,0,0,0,112.05,116.22,0,0,0,0,0,0,0,0,0,0,0.85,18.95,0,33.51,0,0,0,123.77,0,291.19,0,176.91,23.12,0,0,0,0.72,116.35,0,0,0,9.11,0,0,0,3.45,40.79,63.72,0,0.91,0,0,0,15.26,1.23
"Fzd5",2.02,0,0.13,2.31,0,0,8.02,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,2.06,3.21,0,0.07,0,14.8,0.05,0.06,0,0,0.19,0,0,0,11.99,0,2.2,0,2.8,0,0.52,0,0,1.05,2.27,0,0,12.96,42.85,0,0,0,0,0,0,0,5.59,30.57,0,0.48,0.41,1.46,0.18,0,0,0,6.33,1.07,7.54,0
"Tubg2",0,0,0,0,0,0,0,0,0,0,0,196.56,0,7.17,0,0,0,0,0,0,0,419.42,0,0,0,0,0,16.82,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.98,0,0,0,0,0,0,0,329.47,0,0,0,0,0,0,0,0,30.19,0.39,10.1,2.16,0,0,0,0,0
"E130308A19Rik",0,0,50.89,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0.4,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.07,0.62,47.19,0,1.02,0,0,0,0,3.37,0.05,0,0.29,0,173.14,0,0,0.52,0,10.44,0,0,0,0,0,0,0,0,0,0,0,15.55,0
"Rnf216",1.03,0,8.62,8.34,0,0,0,128.37,0,0,7.98,0,0,0,32.24,0,18.11,0,0.48,0,1.35,0,0.2,0,0,0,0,11.6,1.99,0,0.4,1.89,1.27,0,32.12,0,15.61,36.96,18.57,7.1,0,0,72.49,0,7.51,5.28,0.8,0,0,3.59,3.77,6.54,1.77,0.11,0.09,4.27,43.49,0.14,131.42,36.2,0,1.45,0.53,0.88,5.31,29.94,3.95,0,8.01,23.18,7.83,0,1.77,22.88,26.77,0,6.24,0.4
"S1pr1",172.89,0,0,6.22,0,6.61,0,0,0,16.73,10.26,33.7,0,55.22,0.34,115.09,34.57,0,2.28,57.64,57.55,70.54,10.08,185.11,0,22.02,0,7.58,359.93,1.39,0,1.65,113.34,0,29.01,12.51,0,0,0,4.47,30.54,0,0,26.3,86.7,4.41,0.42,89.34,104.89,10.82,36.87,0,9.84,4.87,0,0,45.82,0,107.91,0,0,0,0,32.99,10.36,42.17,0.27,23.53,2.43,165.17,7.11,17.23,0.47,189.24,7.58,7.33,13.8,0
"Magi1",29.22,0,9.82,5.78,2.24,34.44,0,9.55,0,9.73,9.81,10.3,0,23.2,0,0,5.35,0,2.68,0,0,73.6,3.92,135.66,23.48,0,5.97,0.74,0,19.01,0,33.77,0,2.54,0,7.95,0,3.58,2.01,17.35,0,0,1.38,0.11,14,58.95,31.7,128.97,2.32,5.69,10.29,6.15,13.5,19.45,44.06,17.59,7.72,0,1.46,8.53,0,0,0,11.88,35.42,0.63,47.76,7.09,0,8.7,17.8,0,0,4.47,19.39,7.58,17.76,17.72
"Suv420h1",0.24,0.68,56.96,1.68,0,0.55,0,0,17.77,17.33,1.94,0.34,0.62,1.86,1.97,0,0.44,0,0.36,0.33,15.86,0,1.23,109.5,46.44,9.91,0,10.16,56.61,221.4,0.86,16.81,37.44,1.24,2,0.16,3.19,1.21,5.27,3.49,10.6,2.18,0.73,39.13,1.26,46.57,23.13,0.11,3.73,0.85,36.69,14.07,11.69,2.03,5.77,0.64,1.53,5,19.32,5.03,2.58,0.05,25.05,6.6,1.63,1.1,0.24,3.53,4.56,11.28,15.45,1.51,1.26,0.61,8.44,19.33,14.29,68.42
"Slc25a26",1.75,0,0.17,0,134.65,0,0,0,0,0,0.45,0.47,0.44,0,0,0,1.68,0,1.26,0,13.94,0,0,26.97,0.75,0,0,0.66,0,1.21,0,0,1.17,0,0.34,0,0,0,9.64,0.25,0.64,0,0,0.67,0,0,0.69,0.2,0.53,0.68,16.29,0,0,1.68,0,0,2.27,0.88,3.65,0,0,0,0,0,0,0.37,10.6,0,0,0,0,14.37,0.97,0.74,1.15,0,2.73,6.16
"Dmd",0,56.92,43.49,0,0,259.6,0,0,190.4,24.75,29.73,0,0,7.41,83.14,0,0,0.82,10.96,25.17,1.26,348.02,0,0.58,31.87,12.63,0,210.89,1.86,131.33,0.42,18.15,0,130.03,49.18,436.02,0,52.37,11.82,0,0,560.84,0,1.84,3.13,5.65,0.28,327.23,33.8,180.96,0,1.37,31.61,0,0,3.08,45.06,259.05,0.75,18.03,133.92,0,12.02,10.87,190.78,197.18,1.96,0,48.86,0.33,127.7,0,0.78,8.77,0.21,0,71.52,12.98
"Ccdc73",0,40.63,0,8.19,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,40.35,0,0,22.56,0,204.69,30.82,0,64.1,0,0,0,0,80.92,0,26.66,0,0,0.14,0,0.38,0,0,0,0,0,0,0,0.09,0,95.44,0.13,30.65,0,0,0,0.27,0,0,0,0,0,0,0,0.18,127.78,0,0,0,0,7.48,0.16,0,88.77,0,0,164.24,0,0.24
